ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
LON,29.63,30.06,30.03,30.07,30.11,29.76,29.65,29.63,29.7,29.38,29.6,29.55,29.53,29.69,29.53,29.45,29.7,29.71,29.68,29.8,29.68,29.68,29.78,29.66,29.85,29.36,29.51,29.61,29.63,29.6,29.5,29.58,29.52,30,30.05,30.05,29.95,29.95,29.68,29.67,29.78,29.87,29.78,29.81,29.86,29.75,29.55,29.61,29.56,29.51,29.5,29.83,29.76,29.75,29.71,29.93,30.16,30.05,30.43,30.35,30.29,30.5,30.5,30.43
LAT,-1.95,-1.96,-2.01,-1.89,-1.95,-2.35,-2.35,-2.46,-2.52,-2.38,-2.43,-2.48,-2.48,-2.16,-2.33,-2.36,-2.21,-2.16,-2.16,-2.05,-1.83,-1.76,-2.08,-1.95,-1.9,-2.24,-1.58,-1.61,-1.95,-1.75,-1.76,-2.05,-1.91,-1.76,-1.81,-1.8,-1.62,-1.61,-1.56,-1.68,-1.73,-1.72,-1.6,-1.81,-1.73,-1.53,-1.56,-1.48,-1.45,-1.46,-1.5,-1.41,-1.55,-1.46,-1.43,-1.6,-1.8,-1.6,-1.93,-1.91,-1.8,-1.85,-1.9,-1.81
19810101,6,43,7.9,39,36,1,7,0,4,0,7,0,12.2,11,12.2,8,8.8,11.1,10,9,18.7,17,8.3,10,52,0,0,0,6,11,3,24,0,24,26,26,0,0,8,9,19,27,1,63,33,8,0,9.4,3,0,0,3,4,6,5,0,15,0,2,0,0,3,3,1
19810102,0,51,4.4,41,57.3,10,13,3,0,4,8,0,14.6,9,13.7,13,3.4,9.6,9,11,8.2,4,10,0,18,9,3,0,0,0,0,0,1,0,0,0,1,1,0,5,13,8,15,17,2,6,5,5.3,3,2,2,7,13,6,5,0,2,5,0,0,0,0,0,0
19810103,0,0,0.2,0,0,7,0,0,8,12,0,0,0,13,0,1,16.3,13.8,11,0,22.4,23,0.6,0,0,10,2,33,0,2,2,0,1,0,0,0,3,3,10,21,2,0,1,0,0,3,13,1.4,0.6,9,12,0,0,0,0,0.6,0,5,6,0,0,7,11,2
19810104,10,0,0,2,0,0,0,0,0,6,0,0,0,0,4,4,0,0,0,0,0,0,0,11,0,0,9,11,10,0,0,0,18,9,10,10,0,0,15,0,0,0,2,0,0,8,10,5.9,5.2,2,2,5,1,11,10,0,0,0,0,0,0,0,0,0
19810105,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4.8,11.3,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0
19810106,4,7,5.8,8,5.6,0,4,6,0,0,7.5,0,1.9,3,0.9,0,0,3.4,0,0,5,5,0,2,9,1,0,1,4,3,0,17,1,21,15,15,5,5,5,6,0,21,3,11,10,0,0,5.4,5,2,1,7,0,0,4,8.7,4,7,14,10,0,6,15,2
19810107,0,0,0.1,0,0,2,1,0,11,1,0,0,0,0,4.6,2,3.9,0,2,2,7.5,26,0,0,0,3,2,15,0,23,12,0,3,0,0,0,0,0,1,30,0,0,0,0,0,0,6,0,2.1,7,8,0,0,1,2,0,0,0,0,0,0,0,0,0
19810108,0,0,0,0,0,1,0,0,0,27,1.1,0,0,0,1.3,2,3,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,5,0,0,0,6,6,0,0,2,0,1,3,0,0,0,0.8,2.1,1,0,3,0,0,2,0,0,14,0,0,0,0,0,0
