Station_Name,Elevation_m,Atm_Pressure_kPa
 Muhanda/Rubaya ,1679.0,82.965
Gitega,1534.0,84.434
 Butamwa ,1557.0,84.2
 Kabuye SW ,1381.0,86.006
KIGALIAERO,1458.0,85.212
 Busasamana-Nyanza ,1796.0,81.796
 Rurangazi ,1721.0,82.544
 Kigoma ,1677.0,82.985
 Simbi ,1700.0,82.754
 Buruhukiro ,2574.0,74.352
 Cyanika ku ishuri ,1971.0,80.071
GIKONGOROMET,2018.0,79.613
 Kigeme ku ishuri ,2002.0,79.768
 Gatare ,1809.0,81.666
 Kaduha Sector ,1916.0,80.61
 Mushubi Paroisse ,2263.0,77.259
 Gitwe ,1615.0,83.611
Byimana,1797.0,81.786
 Mwendo ,1766.0,82.094
 Kivumu ,1786.0,81.895
 Kibangu ,1493.0,84.853
 Nyabinoni ,1809.0,81.666
 Nyamabuye ,1899.0,80.777
 Rugendabari ,1466.0,85.13
 Kayenzi ,1709.0,82.664
Twumba ,2342.0,76.512
 Rwankeri ,2576.0,74.334
 Rugera ,2193.0,77.925
 Gatumba ,1679.0,82.965
Muramba ,1972.0,80.061
 Kabaya ,2442.0,75.575
Nyange ,1737.0,82.384
 Sovu ,2305.0,76.861
Cyinzuzi,2027.0,79.525
Rutongo,1737.0,82.384
Mugambazi,1754.0,82.214
Rutongo,1856.0,81.201
Rusiga,2198.0,77.878
Cyabingo,1698.0,82.774
Janja,1653.0,83.227
Minazi,1614.0,83.621
Muyongwe,1677.0,82.985
Nembaparoisse,2217.0,77.696
Ruli,1602.0,83.743
Rushashi,1704.0,82.714
Remera,1960.0,80.178
BusogoISAE,2180.0,78.05
RhengeriAero,1952.0,80.257
Kinigi,2292.0,76.984
NyangeKabeza,2636.0,73.783
Shingiro,3149.0,69.211
Butaro,2228.0,77.591
Kagogo,1754.0,82.214
Ntaruka,1974.0,80.042
Kinoni,2092.0,78.896
Ruhunde,2183.0,78.021
Rwesero,1626.0,83.5
ByumbaMet,2204.0,77.82
 Rwamagana ,1519.0,84.587
 Musha ,1545.0,84.322
 Gasange ,1666.0,83.096
 Gahini  ,1575.0,84.016
 Mukarange ,1605.0,83.712
KAWANGIRE,1518.0,84.597
