Month,Precip_mm,Peff_mm,ET0_mm,Kc_Maize,ETc_Maize,NIWR_Maize,Kc_Beans,ETc_Beans,NIWR_Beans,Kc_Cassava,ETc_Cassava,NIWR_Cassava
Jan,98.3,82.9,114.9,0.4,40.2,0.0,0.4,40.2,0.0,0.8,91.9,9.1
Feb,111.2,91.4,108.7,0.8,86.9,0.0,1.0,114.1,22.7,0.8,86.9,0.0
Mar,159.0,118.5,117.9,1.2,135.6,17.1,0.3,35.4,0.0,1.1,129.7,11.2
Apr,191.1,132.7,113.2,0.6,67.9,0.0,0.0,0.0,0.0,1.1,124.5,0.0
May,140.6,109.0,116.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,128.6,19.7
Jun,36.5,34.4,109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,87.3,52.9
Jul,16.8,16.3,112.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,67.3,50.9
Aug,59.4,53.8,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,46.2,0.0
Sep,108.5,89.7,122.3,0.4,42.8,0.0,0.4,42.8,0.0,0.4,48.9,0.0
Oct,144.5,111.1,125.0,0.8,100.0,0.0,1.0,131.2,20.1,0.5,62.5,0.0
Nov,154.6,116.4,115.9,1.2,133.3,17.0,0.3,34.8,0.0,0.6,69.6,0.0
Dec,123.2,98.9,114.4,0.6,68.7,0.0,0.0,0.0,0.0,0.7,80.1,0.0
