Date,Rainfall_avg_mm,Percent_AOI_Data
1981-01-01,0.876,100.0
1981-01-02,13.628,100.0
1981-01-03,7.544,100.0
1981-01-04,3.785,100.0
1981-01-05,0.0,100.0
1981-01-06,0.0,100.0
1981-01-07,7.753,100.0
1981-01-08,1.839,100.0
1981-01-09,4.889,100.0
1981-01-10,3.037,100.0
1981-01-11,0.0,100.0
1981-01-12,0.0,100.0
1981-01-13,0.0,100.0
1981-01-14,0.0,100.0
1981-01-15,0.0,100.0
1981-01-16,0.0,100.0
1981-01-17,0.0,100.0
1981-01-18,0.0,100.0
1981-01-19,0.05,100.0
1981-01-20,0.449,100.0
1981-01-21,3.489,100.0
1981-01-22,7.327,100.0
1981-01-23,7.27,100.0
1981-01-24,3.27,100.0
1981-01-25,0.269,100.0
1981-01-26,13.904,100.0
1981-01-27,0.0,100.0
1981-01-28,0.0,100.0
1981-01-29,0.0,100.0
1981-01-30,0.283,100.0
1981-01-31,1.459,100.0
1981-02-01,11.33,100.0
1981-02-02,0.592,100.0
1981-02-03,0.0,100.0
1981-02-04,0.0,100.0
1981-02-05,0.417,100.0
1981-02-06,0.0,100.0
1981-02-07,0.0,100.0
1981-02-08,0.0,100.0
1981-02-09,2.468,100.0
1981-02-10,9.473,100.0
1981-02-11,11.84,100.0
1981-02-12,1.645,100.0
1981-02-13,0.0,100.0
1981-02-14,0.183,100.0
1981-02-15,0.895,100.0
1981-02-16,1.361,100.0
1981-02-17,11.056,100.0
1981-02-18,8.896,100.0
1981-02-19,7.167,100.0
1981-02-20,0.112,100.0
1981-02-21,3.645,100.0
1981-02-22,0.0,100.0
1981-02-23,0.0,100.0
1981-02-24,0.0,100.0
1981-02-25,0.265,100.0
1981-02-26,0.0,100.0
1981-02-27,1.002,100.0
1981-02-28,0.0,100.0
1981-03-01,2.949,100.0
1981-03-02,0.0,100.0
1981-03-03,0.0,100.0
1981-03-04,0.0,100.0
1981-03-05,0.0,100.0
1981-03-06,1.526,100.0
1981-03-07,0.0,100.0
1981-03-08,8.217,100.0
1981-03-09,8.512,100.0
1981-03-10,3.037,100.0
1981-03-11,0.0,100.0
1981-03-12,0.0,100.0
1981-03-13,0.0,100.0
1981-03-14,5.202,100.0
1981-03-15,3.531,100.0
1981-03-16,0.0,100.0
1981-03-17,2.609,100.0
1981-03-18,5.391,100.0
1981-03-19,5.223,100.0
1981-03-20,7.287,100.0
1981-03-21,1.287,100.0
1981-03-22,3.743,100.0
1981-03-23,9.17,100.0
1981-03-24,14.792,100.0
1981-03-25,15.06,100.0
1981-03-26,19.69,100.0
1981-03-27,10.174,100.0
1981-03-28,9.714,100.0
1981-03-29,17.413,100.0
